codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia
138835,"DESOD AERO REXONA WOMAN ERVA DOCE 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
144894,"SH PALMOLIVE BRILHO FASCINANTE 350ML",12.39,10.99,03/08,10/08,"CUIDADOS COM O CABELO",1260
144908,"SH PALMOLIVE HIDRATACAO INTENSA 350ML",12.39,10.99,03/08,10/08,"CUIDADOS COM O CABELO",1260
144916,"COND PALMOLIVE BRILHO FASCINANTE 325ML",12.89,11.99,03/08,10/08,"CUIDADOS COM O CABELO",1401
146706,"SH SEDA MICELAR 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
146714,"COND SEDA MICELAR 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
155969,"DESOD AERO REXONA UNISSEX NOW 150ML",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
159891,"LAVA ROUPAS OMO LAVANDA 3L",42.39,29.98,03/08,10/08,LIMPEZA,4940
163767,"CAPSULA SANTA CLARA CLASSICO 7.5G",24.69,19.99,04/08,10/08,"CAFE / CHA",434
163937,"DESOD AERO REXONA WOMEM FRUT VERM 150ML",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
